code,display_name,unit,data_type,min,max
lipperLatestCompositeZScoreBelow,Composite Z-Score Latest Below,,,,
lipperLatestPrice2BookRatioAbove,Price/Book Ratio Latest Above,,,,
lipperLatestPrice2BookRatioBelow,Price/Book Ratio Latest Below,,,,
lipperLatestPrice2BookZScoreAbove,Price to Book Z-Score Latest Above,,,,
lipperLatestPrice2BookZScoreBelow,Price to Book Z-Score Latest Below,,,,
lipperLatestPrice2EarningsRatioAbove,Price/Earnings Ratio Latest Above,,,,
lipperLatestPrice2EarningsRatioBelow,Price/Earnings Ratio Latest Below,,,,
lipperLatestPrice2EarningsZScoreAbove,Price to Earnings Z-Score Latest Above,,,,
lipperLatestPrice2EarningsZScoreBelow,Price to Earnings Z-Score Latest Below,,,,
lipperLatestPrice2SalesRatioAbove,Price/Sales Ratio Latest Above,,,,
lipperLatestPrice2SalesRatioBelow,Price/Sales Ratio Latest Below,,,,
lipperLatestPrice2SalesZScoreAbove,Price/Sales Z-Score Latest Above,,,,
lipperLatestPrice2SalesZScoreBelow,Price/Sales Z-Score Latest Below,,,,
lipperLatestReturnOnEquityWAvgAbove,Return on Equity Weighted Average Latest Above,,,,
lipperLatestReturnOnEquityWAvgBelow,Return on Equity Weighted Average Latest Below,,,,
lipperLatestSalesPerShareGrowth3yrAbove,Sales Per Share Growth 3Yr Latest Above,,,,
lipperLatestSalesPerShareGrowth3yrBelow,Sales Per Share Growth 3Yr Latest Below,,,,
lipperLatestSPSGrowthZScoreAbove,SPS Growth Z-Score Latest Above,,,,
lipperLatestSPSGrowthZScoreBelow,SPS Growth Z-Score Latest Below,,,,
lipperLTDebt2ShareholdersEquityAbove,LT Debt / Shareholders Equity Above,,,,
lipperLTDebt2ShareholdersEquityBelow,LT Debt / Shareholders Equity Below,,,,
lipperMaxGain1yrAbove,Max Gain 1Yr Above,,,,
lipperMaxGain1yrBelow,Max Gain 1Yr Below,,,,
lipperMaximumDrawdown1yrAbove,Max Drawdown 1Yr Above,,,,
lipperMaximumDrawdown1yrBelow,Max Drawdown 1Yr Below,,,,
lipperMaxLoss1yrAbove,Max Loss 1Yr Above,,,,
lipperMaxLoss1yrBelow,Max Loss 1Yr Below,,,,
lipperMktCapAvgLatestAbove,Market Capitalisation - Avg. Latest Above,,,,
lipperMktCapAvgLatestBelow,Market Capitalisation - Avg. Latest Below,,,,
lipperNominalMaturityAbove,Nominal Maturity Above,,,,
lipperNominalMaturityBelow,Nominal Maturity Below,,,,
lipperNumberOfSecuritiesAbove,Number of Securities Above,,,,
lipperNumberOfSecuritiesBelow,Number of Securities Below,,,,
lipperOperCashFlowGrowthRate3yrAbove,Operating Cash Flow - Growth Rate 3Yr Above,,,,
lipperOperCashFlowGrowthRate3yrBelow,Operating Cash Flow - Growth Rate 3Yr Below,,,,
lipperPctChangeAbove,Pct Change Above,,,,
lipperPctChangeBelow,Pct Change Below,,,,
lipperPercentageGrowthCumulativeValueAbove,Percentage Growth Cumulative Above,,,,
lipperPercentageGrowthCumulativeValueBelow,Percentage Growth Cumulative Below,,,,
lipperPositivePeriods1yrAbove,Positive Periods 1Yr Above,,,,
lipperPositivePeriods1yrBelow,Positive Periods 1Yr Below,,,,
lipperPrice2BookRatioAbove,Price/Book Above,,,,
lipperPrice2BookRatioBelow,Price/Book Below,,,,
lipperPrice2CashAbove,Price to Cash Above,,,,
lipperPrice2CashBelow,Price to Cash Below,,,,
lipperPrice2DividendAbove,Price to Dividend Above,,,,
lipperPrice2DividendBelow,Price to Dividend Below,,,,
lipperPrice2EarningsRatioAbove,Price/Earnings Ratio Above,,,,
lipperPrice2EarningsRatioBelow,Price/Earnings Ratio Below,,,,
lipperPrice2SalesRatioAbove,Price/Sales Ratio Latest Above,,,,
lipperPrice2SalesRatioBelow,Price/Sales Ratio Latest Below,,,,
lipperProjectedYieldValueAbove,Projected Yield Value Above,,,,
lipperProjectedYieldValueBelow,Projected Yield Value Below,,,,
lipperRelativeStrengthAbove,Relative Strength Above,,,,
lipperRelativeStrengthBelow,Relative Strength Below,,,,
lipperReturnOnAssets1yrAbove,Return on Assets 1Yr Above,,,,
lipperReturnOnAssets1yrBelow,Return on Assets 1Yr Below,,,,
lipperReturnOnAssets3yrAbove,Return on Assets 3Yr Above,,,,
lipperReturnOnAssets3yrBelow,Return on Assets 3Yr Below,,,,
lipperReturnOnCapital3yrAbove,Return on Capital 3Yr Above,,,,
lipperReturnOnCapital3yrBelow,Return on Capital 3Yr Below,,,,
lipperReturnOnCapitalAbove,Return on Capital Above,,,,
lipperReturnOnCapitalBelow,Return on Capital Below,,,,
lipperReturnOnEquity1yrAbove,Return on Equity 1Yr Above,,,,
lipperReturnOnEquity1yrBelow,Return on Equity 1Yr Below,,,,
lipperReturnOnEquity3yrAbove,Return on Equity 3Yr Above,,,,
lipperReturnOnEquity3yrBelow,Return on Equity 3Yr Below,,,,
lipperReturnOnEquityZScoreAbove,Return on Equity Z-Score Latest Above,,,,
lipperReturnOnEquityZScoreBelow,Return on Equity Z-Score Latest Below,,,,
lipperReturnOnInvestment1yrAbove,Return on Investment 1Yr Above,,,,
lipperReturnOnInvestment1yrBelow,Return on Investment 1Yr Below,,,,
lipperReturnOnInvestment3yrAbove,Return on Investment 3Yr Above,,,,
lipperReturnOnInvestment3yrBelow,Return on Investment 3Yr Below,,,,
lipperReturnRiskRatio1yrAbove,Return Risk Ratio 1Yr Above,,,,
lipperReturnRiskRatio1yrBelow,Return Risk Ratio 1Yr Below,,,,
lipperRSquared1yrAbove,R-Squared 1Yr Above,,,,
lipperRSquared1yrBelow,R-Squared 1Yr Below,,,,
lipperSales2TotalAssetsAbove,Sales to Total Assets Above,,,,
lipperSales2TotalAssetsBelow,Sales to Total Assets Below,,,,
lipperSalesGrowth1yrAbove,Sales Growth 1Yr Above,,,,
lipperSalesGrowth1yrBelow,Sales Growth 1Yr Below,,,,
lipperSalesGrowth3yrAbove,Sales Growth 3Yr Above,,,,
lipperSalesGrowth3yrBelow,Sales Growth 3Yr Below,,,,
lipperSalesGrowth5yrAbove,Sales Growth 5Yr Above,,,,
lipperSalesGrowth5yrBelow,Sales Growth 5Yr Below,,,,
lipperSalesPerShareGrowth1yrAbove,Sales Per Share Growth 1 Year Above,,,,
lipperSalesPerShareGrowth1yrBelow,Sales Per Share Growth 1 Year Below,,,,
lipperSalesPerShareGrowth3yrAbove,Sales Per Share Growth 3 Year Above,,,,
lipperSalesPerShareGrowth3yrBelow,Sales Per Share Growth 3 Year Below,,,,
lipperSemiDeviation1yrAbove,Semi Deviation 1Yr Above,,,,
lipperSemiDeviation1yrBelow,Semi Deviation 1Yr Below,,,,
lipperSemiVariance1yrAbove,Semi Variance 1Yr Above,,,,
lipperSemiVariance1yrBelow,Semi Variance 1Yr Below,,,,
lipperSharpeRatio1yrAbove,Sharpe Ratio 1Yr Above,,,,
lipperSharpeRatio1yrBelow,Sharpe Ratio 1Yr Below,,,,
lipperSortino1yrAbove,Sortino Ratio 1Yr Above,,,,
lipperSortino1yrBelow,Sortino Ratio 1Yr Below,,,,
lipperSRRI1yrAbove,Synthetic Risk and Reward Indicator 1Yr Above,,,,
lipperSRRI1yrBelow,Synthetic Risk and Reward Indicator 1Yr Below,,,,
lipperStandardDeviation1yrAbove,Standard Deviation 1Yr Above,,,,
lipperStandardDeviation1yrBelow,Standard Deviation 1Yr Below,,,,
lipperTotalAssets2TotalEquityAbove,Total Assets / Total Equity Above,,,,
lipperTotalAssets2TotalEquityBelow,Total Assets / Total Equity Below,,,,
lipperTotalDebt2TotalCapitalAbove,Total Debt / Total Capital Above,,,,
lipperTotalDebt2TotalCapitalBelow,Total Debt / Total Capital Below,,,,
lipperTotalDebt2TotalEquityAbove,Total Debt / Total Equity Above,,,,
lipperTotalDebt2TotalEquityBelow,Total Debt / Total Equity Below,,,,
lipperTotalExpenseRatioAbove,Total Expense Ratio Above,,,,
lipperTotalExpenseRatioBelow,Total Expense Ratio Below,,,,
lipperTotalNetAssetsAbove,Total Net Assets Above,,,,
lipperTotalNetAssetsBelow,Total Net Assets Below,,,,
lipperTrackingError1yrAbove,Tracking Error 1Yr Above,,,,
lipperTrackingError1yrBelow,Tracking Error 1Yr Below,,,,
lipperTreynorRatio1yrAbove,Treynor Ratio 1Yr Above,,,,
lipperTreynorRatio1yrBelow,Treynor Ratio 1Yr Below,,,,
lipperValueAtRiskNormal1yrAbove,Value At Risk Normal 1Yr Above,,,,
lipperValueAtRiskNormal1yrBelow,Value At Risk Normal 1Yr Below,,,,
lipperValueAtRiskNormalETL1yrAbove,Value At Risk Normal End Tail Loss 1Yr Above,,,,
lipperValueAtRiskNormalETL1yrBelow,Value At Risk Normal End Tail Loss 1Yr Below,,,,
lipperValueAtRiskQuantile1yrAbove,Value At Risk Quantile 1Yr Above,,,,
lipperValueAtRiskQuantile1yrBelow,Value At Risk Quantile 1Yr Below,,,,
lipperValueAtRiskQuantileETL1yrAbove,Value At Risk Quantile End Tail Loss 1Yr Above,,,,
lipperValueAtRiskQuantileETL1yrBelow,Value At Risk Quantile End Tail Loss 1Yr Below,,,,
lipperVariance1yrAbove,Variance 1Yr Above,,,,
lipperVariance1yrBelow,Variance 1Yr Below,,,,
lipperWeightedFinalCompositeZScoreAbove,Weighted Final Composite Z-Score Above,,,,
lipperWeightedFinalCompositeZScoreBelow,Weighted Final Composite Z-Score Below,,,,
lipperYieldToMaturityAbove,Yield to Maturity Above,,,,
lipperYieldToMaturityBelow,Yield to Maturity Below,,,,
lipperYieldValueAbove,Yield 1Yr Above,,,,
lipperYieldValueBelow,Yield 1Yr Below,,,,
marketCapAbove1e6,Capitalization Above,,,,
marketCapBelow1e6,Capitalization Below,,,,
maturityDateAbove,Maturity Date Above,,,,
maturityDateBelow,Maturity Date Below,,,,
maxGrowthRate,Growth Rate Below (Refinitiv),,,,
maxPeRatio,P/E Ratio Below (Refinitiv),,,,
maxPrice2Bk,Price/Book Ratio Below (Refinitiv),,,,
maxPrice2TanBk,Price/Tang. Book Below (Refinitiv),,,,
maxQuickRatio,Quick Ratio Below (Refinitiv),,,,
maxRetnOnEq,Return On Equity Below (Refinitiv),,,,
mfConsistentReturnScore10yrAbove,Consistent Return Score 10yr Above,,,-2147483648,2147483647
mfConsistentReturnScore10yrBelow,Consistent Return Score 10yr Below,,,-2147483648,2147483647
mfConsistentReturnScore3yrAbove,Consistent Return Score 3yr Above,,,-2147483648,2147483647
mfConsistentReturnScore3yrBelow,Consistent Return Score 3yr Below,,,-2147483648,2147483647
mfConsistentReturnScore5yrAbove,Consistent Return Score 5yr Above,,,-2147483648,2147483647
mfConsistentReturnScore5yrBelow,Consistent Return Score 5yr Below,,,-2147483648,2147483647
mfConsistentReturnScoreOverallAbove,Consistent Return Score Overall Above,,,-2147483648,2147483647
mfConsistentReturnScoreOverallBelow,Consistent Return Score Overall Below,,,-2147483648,2147483647
mfExpenseScore10yrAbove,Expense Score 10yr Above,,,-2147483648,2147483647
mfExpenseScore10yrBelow,Expense Score 10yr Below,,,-2147483648,2147483647
mfExpenseScore3yrAbove,Expense Score 3yr Above,,,-2147483648,2147483647
mfExpenseScore3yrBelow,Expense Score 3yr Below,,,-2147483648,2147483647
mfExpenseScore5yrAbove,Expense Score 5yr Above,,,-2147483648,2147483647
mfExpenseScore5yrBelow,Expense Score 5yr Below,,,-2147483648,2147483647
mfExpenseScoreOverallAbove,Expense Score Overall Above,,,-2147483648,2147483647
mfExpenseScoreOverallBelow,Expense Score Overall Below,,,-2147483648,2147483647
mfPreservationScore10yrAbove,Preservation Score 10yr Above,,,-2147483648,2147483647
mfPreservationScore10yrBelow,Preservation Score 10yr Below,,,-2147483648,2147483647
mfPreservationScore3yrAbove,Preservation Score 3yr Above,,,-2147483648,2147483647
mfPreservationScore3yrBelow,Preservation Score 3yr Below,,,-2147483648,2147483647
mfPreservationScore5yrAbove,Preservation Score 5yr Above,,,-2147483648,2147483647
mfPreservationScore5yrBelow,Preservation Score 5yr Below,,,-2147483648,2147483647
mfPreservationScoreOverallAbove,Preservation Score Overall Above,,,-2147483648,2147483647
mfPreservationScoreOverallBelow,Preservation Score Overall Below,,,-2147483648,2147483647
mfPriceChangeValueAbove,Price Change Value Above,,,,
mfPriceChangeValueBelow,Price Change Value Below,,,,
mfTaxEfficiencyScore10yrAbove,Tax Efficiency Score 10yr Above,,,-2147483648,2147483647
mfTaxEfficiencyScore10yrBelow,Tax Efficiency Score 10yr Below,,,-2147483648,2147483647
mfTaxEfficiencyScore3yrAbove,Tax Efficiency Score 3yr Above,,,-2147483648,2147483647
mfTaxEfficiencyScore3yrBelow,Tax Efficiency Score 3yr Below,,,-2147483648,2147483647
mfTaxEfficiencyScore5yrAbove,Tax Efficiency Score 5yr Above,,,-2147483648,2147483647
mfTaxEfficiencyScore5yrBelow,Tax Efficiency Score 5yr Below,,,-2147483648,2147483647
mfTaxEfficiencyScoreOverallAbove,Tax Efficiency Score Overall Above,,,-2147483648,2147483647
mfTaxEfficiencyScoreOverallBelow,Tax Efficiency Score Overall Below,,,-2147483648,2147483647
mfTotalReturnScore10yrAbove,Total Return Score 10yr Above,,,-2147483648,2147483647
mfTotalReturnScore10yrBelow,Total Return Score 10yr Below,,,-2147483648,2147483647
mfTotalReturnScore3yrAbove,Total Return Score 3yr Above,,,-2147483648,2147483647
mfTotalReturnScore3yrBelow,Total Return Score 3yr Below,,,-2147483648,2147483647
mfTotalReturnScore5yrAbove,Total Return Score 5yr Above,,,-2147483648,2147483647
mfTotalReturnScore5yrBelow,Total Return Score 5yr Below,,,-2147483648,2147483647
mfTotalReturnScoreOverallAbove,Total Return Score Overall Above,,,-2147483648,2147483647
mfTotalReturnScoreOverallBelow,Total Return Score Overall Below,,,-2147483648,2147483647
minGrowthRate,Growth Rate Above (Refinitiv),,,,
minPeRatio,P/E Ratio Above (Refinitiv),,,,
minPrice2Bk,Price/Book Ratio Above (Refinitiv),,,,
minPrice2TanBk,Price/Tang. Book Above (Refinitiv),,,,
minQuickRatio,Quick Ratio Above (Refinitiv),,,,
minRetnOnEq,Return On Equity Above (Refinitiv),,,,
moodyRatingAbove,Moody Rating Above,,,,
moodyRatingBelow,Moody Rating Below,,,,
netProfitMarginTTMAbove,Net Profit Margin(%) (Refinitiv) Above,,,,
netProfitMarginTTMBelow,Net Profit Margin(%) (Refinitiv) Below,,,,
nextYrETFFYBVPerShareAbove,Next Year Book Value Per Share (AltaVista) Above,,,,
nextYrETFFYBVPerShareBelow,Next Year Book Value Per Share (AltaVista) Below,,,,
nextYrETFFYDividendYieldAbove,Next Year Dividend Yield (AltaVista) Above,,,,
nextYrETFFYDividendYieldBelow,Next Year Dividend Yield (AltaVista) Below,,,,
nextYrETFFYDPSAbove,Next Year Dividends Per Share (AltaVista) Above,,,,
nextYrETFFYDPSBelow,Next Year Dividends Per Share (AltaVista) Below,,,,
nextYrETFFYEPSAbove,Next Year Earnings Per Share (AltaVista) Above,,,,
nextYrETFFYEPSBelow,Next Year Earnings Per Share (AltaVista) Below,,,,
nextYrETFFYEPSGrowthAbove,Next Year Earnings Per Share Growth (AltaVista) Above,,,,
nextYrETFFYEPSGrowthBelow,Next Year Earnings Per Share Growth (AltaVista) Below,,,,
nextYrETFFYNetMarginAbove,Next Year Net Margins Per Share (AltaVista) Above,,,,
nextYrETFFYNetMarginBelow,Next Year Net Margins Per Share (AltaVista) Below,,,,
nextYrETFFYPriceToBookValueAbove,Next Year Price/Book Value Ratio (AltaVista) Above,,,,
nextYrETFFYPriceToBookValueBelow,Next Year Price/Book Value Ratio (AltaVista) Below,,,,
nextYrETFFYPriceToCashFlowAbove,Next Year Price/Cash Flow Ratio (AltaVista) Above,,,,
nextYrETFFYPriceToCashFlowBelow,Next Year Price/Cash Flow Ratio (AltaVista) Below,,,,
nextYrETFFYPriceToEarningsAbove,Next Year Price/Earnings Ratio (AltaVista) Above,,,,
nextYrETFFYPriceToEarningsBelow,Next Year Price/Earnings Ratio (AltaVista) Below,,,,
nextYrETFFYPriceToGrowthAbove,Next Year Price/Growth Ratio (AltaVista) Above,,,,
nextYrETFFYPriceToGrowthBelow,Next Year Price/Growth Ratio (AltaVista) Below,,,,
nextYrETFFYPriceToSalesAbove,Next Year Price/Sales Ratio (AltaVista) Above,,,,
nextYrETFFYPriceToSalesBelow,Next Year Price/Sales Ratio (AltaVista) Below,,,,
nextYrETFFYRoEAbove,Next Year Return on Equity (AltaVista) Above,,,,
nextYrETFFYRoEBelow,Next Year Return on Equity (AltaVista) Below,,,,
nextYrETFFYSPSAbove,Next Year Sales Per Share (AltaVista) Above,,,,
nextYrETFFYSPSBelow,Next Year Sales Per Share (AltaVista) Below,,,,
nextYrETFFYSPSGrowthAbove,Next Year Sales Per Share Growth (AltaVista) Above,,,,
nextYrETFFYSPSGrowthBelow,Next Year Sales Per Share Growth (AltaVista) Below,,,,
numPriceTargetsAbove,# of Analyst Price Targets Above,,,-2147483648,2147483647
numPriceTargetsBelow,# of Analyst Price Targets Below,,,-2147483648,2147483647
numRatingsAbove,# of Analyst Ratings Above,,,-2147483648,2147483647
numRatingsBelow,# of Analyst Ratings Below,,,-2147483648,2147483647
openGapPercAbove,Gap (%) Above,,,,
openGapPercBelow,Gap (%) Below,,,,
operatingMarginTTMAbove,Operating Margin (Refinitiv) Above,,,,
operatingMarginTTMBelow,Operating Margin (Refinitiv) Below,,,,
optOpenInterestAbove,Opt Open Interest Above,,,,
optOpenInterestBelow,Opt Open Interest Below,,,,
optVolumeAbove,Option Volume Above,,,,
optVolumeBelow,Option Volume Below,,,,
optVolumePCRatioAbove,Opt Volume P/C Ratio Above,,,,
optVolumePCRatioBelow,Opt Volume P/C Ratio Below,,,,
payoutRatioTTMAbove,Payout Ratio TTM (Refinitiv) Above,,,,
payoutRatioTTMBelow,Payout Ratio TTM (Refinitiv) Below,,,,
peaEligibleStkIs,PEA Eligible,,,,
prevYrETFFYBVPerShareAbove,Prev Year Book Value Per Share (AltaVista) Above,,,,
prevYrETFFYBVPerShareBelow,Prev Year Book Value Per Share (AltaVista) Below,,,,
prevYrETFFYDividendYieldAbove,Prev Year Dividend Yield (AltaVista) Above,,,,
prevYrETFFYDividendYieldBelow,Prev Year Dividend Yield (AltaVista) Below,,,,
prevYrETFFYDPSAbove,Prev Year Dividends Per Share (AltaVista) Above,,,,
prevYrETFFYDPSBelow,Prev Year Dividends Per Share (AltaVista) Below,,,,
prevYrETFFYEPSAbove,Prev Year Earnings Per Share (AltaVista) Above,,,,
prevYrETFFYEPSBelow,Prev Year Earnings Per Share (AltaVista) Below,,,,
prevYrETFFYEPSGrowthAbove,Prev Year Earnings Per Share Growth (AltaVista) Above,,,,
prevYrETFFYEPSGrowthBelow,Prev Year Earnings Per Share Growth (AltaVista) Below,,,,
prevYrETFFYNetMarginAbove,Prev Year Net Margins Per Share (AltaVista) Above,,,,
prevYrETFFYNetMarginBelow,Prev Year Net Margins Per Share (AltaVista) Below,,,,
prevYrETFFYPriceToBookValueAbove,Prev Year Price/Book Value Ratio (AltaVista) Above,,,,
prevYrETFFYPriceToBookValueBelow,Prev Year Price/Book Value Ratio (AltaVista) Below,,,,
prevYrETFFYPriceToCashFlowAbove,Prev Year Price/Cash Flow Ratio (AltaVista) Above,,,,
prevYrETFFYPriceToCashFlowBelow,Prev Year Price/Cash Flow Ratio (AltaVista) Below,,,,
prevYrETFFYPriceToEarningsAbove,Prev Year Price/Earnings Ratio (AltaVista) Above,,,,
prevYrETFFYPriceToEarningsBelow,Prev Year Price/Earnings Ratio (AltaVista) Below,,,,
prevYrETFFYPriceToGrowthAbove,Prev Year Price/Growth Ratio (AltaVista) Above,,,,
prevYrETFFYPriceToGrowthBelow,Prev Year Price/Growth Ratio (AltaVista) Below,,,,
prevYrETFFYPriceToSalesAbove,Prev Year Price/Sales Ratio (AltaVista) Above,,,,
prevYrETFFYPriceToSalesBelow,Prev Year Price/Sales Ratio (AltaVista) Below,,,,
prevYrETFFYRoEAbove,Prev Year Return on Equity (AltaVista) Above,,,,
prevYrETFFYRoEBelow,Prev Year Return on Equity (AltaVista) Below,,,,
prevYrETFFYSPSAbove,Prev Year Sales Per Share (AltaVista) Above,,,,
prevYrETFFYSPSBelow,Prev Year Sales Per Share (AltaVista) Below,,,,
prevYrETFFYSPSGrowthAbove,Prev Year Sales Per Share Growth (AltaVista) Above,,,,
prevYrETFFYSPSGrowthBelow,Prev Year Sales Per Share Growth (AltaVista) Below,,,,
price2CashTTMAbove,Price To Cash Per Share (Refinitiv) Above,,,,
price2CashTTMBelow,Price To Cash Per Share (Refinitiv) Below,,,,
priceAbove,Price Above,,,,
priceBelow,Price Below,,,,
priceRangeAbove,Price Range Above,,,,
priceRangeBelow,Price Range Below,,,,
prodCatIs,Product Category,,,,
ratingsRelation,,,,,
rcgIntermediateTermClassIs,Intermediate Term Class (Recognia),,,,
rcgIntermediateTermEventScoreAbove,Intermediate Term Event Score (Recognia) Above,,,,
rcgIntermediateTermEventScoreBelow,Intermediate Term Event Score (Recognia) Below,,,,
rcgIntermediateTermTechnicalDateAbove,Intermediate Term Technical Event Date (Recognia) Above,,,,
rcgIntermediateTermTechnicalDateBelow,Intermediate Term Technical Event Date (Recognia) Below,,,,
rcgIntermediateTermTradeIs,Intermediate Term Long/Short (Recognia),,,,
rcgLongTermClassIs,Long Term Class (Recognia),,,,
rcgLongTermEventScoreAbove,Long Term Event Score (Recognia) Above,,,,
rcgLongTermEventScoreBelow,Long Term Event Score (Recognia) Below,,,,
rcgLongTermTechnicalDateAbove,Long Term Technical Event Date (Recognia) Above,,,,
rcgLongTermTechnicalDateBelow,Long Term Technical Event Date (Recognia) Below,,,,
rcgLongTermTradeIs,Long Term Long/Short (Recognia),,,,
rcgShortTermClassIs,Short Term Class (Recognia),,,,
rcgShortTermEventScoreAbove,Short Term Event Score (Recognia) Above,,,,
rcgShortTermEventScoreBelow,Short Term Event Score (Recognia) Below,,,,
rcgShortTermTechnicalDateAbove,Short Term Technical Event Date (Recognia) Above,,,,
rcgShortTermTechnicalDateBelow,Short Term Technical Event Date (Recognia) Below,,,,
rcgShortTermTradeIs,Short Term Long/Short (Recognia),,,,
regulatoryImbalanceAbove,Regulatory Imbalance Above,,,,
regulatoryImbalanceBelow,Regulatory Imbalance Below,,,,
returnOnInvestmentTTMAbove,Return On Investment (Refinitiv) Above,,,,
returnOnInvestmentTTMBelow,Return On Investment (Refinitiv) Below,,,,
revChangeAbove,Rev Change(%) (Refinitiv) Above,,,,
revChangeBelow,Rev Change(%) (Refinitiv) Below,,,,
revGrowthRate5YAbove,Revenue Growth Rate 5Y (Refinitiv) Above,,,,
revGrowthRate5YBelow,Revenue Growth Rate 5Y (Refinitiv) Below,,,,
seperatorType,Market Data,,,,
seperatorTypeESG,ESG Filters,,,,
seperatorTypeSym,,,,,
sharesAvailableManyAbove,Shares Available Above,,,-2147483648,2147483647
sharesAvailableManyBelow,Shares Available Below,,,-2147483648,2147483647
shortSaleRestrictionIs,Short Sale Restriction,,,,
socialSentimentScoreAbove,Social Sentiment Score Above,,,,
socialSentimentScoreBelow,Social Sentiment Score Below,,,,
socialSentimentScoreChangeAbove,Social Sentiment Score Change Above,,,,
socialSentimentScoreChangeBelow,Social Sentiment Score Change Below,,,,
spRatingAbove,S&P Rating Above,,,,
spRatingBelow,S&P Rating Below,,,,
stkTypes,Stock type,,,,
stVolume10minAbove,10min Volume Above,,,-2147483648,2147483647
stVolume10minBelow,10min Volume Below,,,-2147483648,2147483647
stVolume3minAbove,3min Volume Above,,,-2147483648,2147483647
stVolume3minBelow,3min Volume Below,,,-2147483648,2147483647
stVolume5minAbove,5min Volume Above,,,-2147483648,2147483647
stVolume5minBelow,5min Volume Below,,,-2147483648,2147483647
tradeCountAbove,Trade Count Above,,,-2147483648,2147483647
tradeCountBelow,Trade Count Below,,,-2147483648,2147483647
tradeRateAbove,Trade Rate Above,,,,
tradeRateBelow,Trade Rate Below,,,,
tweetVolumeScoreAbove,Tweet Volume Score Above,,,,
tweetVolumeScoreBelow,Tweet Volume Score Below,,,,
tweetVolumeScoreChangeAbove,Tweet Volume Score Change Above,,,,
tweetVolumeScoreChangeBelow,Tweet Volume Score Change Below,,,,
underConID,Underlying Contract,,,,
unshortableIs,Unshortable,,,,
usdPriceAbove,Price ($) Above,,,,
usdPriceBelow,Price ($) Below,,,,
usdVolumeAbove,Volume ($) Above,,,,
usdVolumeBelow,Volume ($) Below,,,,
utilizationAbove,Utilization Above,,,,
utilizationBelow,Utilization Below,,,,
volumeAbove,Volume Above,,,-2147483648,2147483647
volumeRateAbove,Volume Rate Above,,,,
volumeRateBelow,Volume Rate Below,,,,
